ID	Taxon	Gloss	GlossID	Orthography	IPA	TOKENS	CogID	CLPA_TOKENS	CLPA_IDS
622	Navajo	know	89	bééhózin	beːhozin	b eː h o z i n	1243	b eː h o z i n	257 1091 405 887 80 1076 107
623	Turkish	know	89	biliyor	bil	b i l	1241	b i l	257 1076 554
624	Albanian	lake	90	liqen	licen	l i c e n	-113	l i c e n	554 1076 606 1089 107
625	English	lake	90	lake	lek	l e k	-111	l e k	554 1089 838
626	French	lake	90	lac	lak	l a k	-111	l a k	554 997 838
627	German	lake	90	See	zeː	z eː	110	z eː	80 1091
628	Hawaiian	lake	90	loko	loko	l o k o	115	l o k o	554 887 838 887
629	Navajo	lake	90	tooh siyínígíí	toːh	t oː h	114	t oː h	120 880 405
630	Turkish	lake	90	göl	gøl	g ø l	112	ɡ ø l	831 1052 554
631	Albanian	laugh	91	qesh	ceʃ	c e ʃ	679	c e ʃ	606 1089 683
632	English	laugh	91	laughs	laf	l a f	676	l a f	554 997 452
633	French	laugh	91	rit	ri	r i	677	r i	153 1076
634	German	laugh	91	lacht	lax	l a x	676	l a x	554 997 778
635	Hawaiian	laugh	91	`aka	ʔaka	ʔ a k a	681	ʔ a k a	409 997 838 997
636	Navajo	laugh	91	yidloh	jidˡoh	j i dˡ o h	680	j i dˡ o h	570 1076 146 887 405
637	Turkish	laugh	91	gülüyor	gyl	g y l	678	ɡ y l	831 1047 554
638	Albanian	leaf	92	gjethe	ɟeθ	ɟ e θ	430	ɟ e θ	609 1089 417
639	English	leaf	92	leaf	lif	l i f	428	l i f	554 1076 452
640	French	leaf	92	feuille	fœj	f œ j	427	f œ j	452 1059 570
641	German	leaf	92	Blatt	blat	b l a t	426	b l a t	257 554 997 120
642	Hawaiian	leaf	92	lau	lau	l a u	432	l a u	554 997 868
643	Navajo	leaf	92	'at'ąą'	tˀãːʔ	tˀ ãː ʔ	431	tʼ ãː ʔ	60 992 409
644	Turkish	leaf	92	yaprak	japrak	j a p r a k	429	j a p r a k	570 997 291 153 997 838
645	Albanian	left	93	majtë	majt	m a j t	1218	m a j t	241 997 570 120
646	English	left	93	left	lɛft	l ɛ f t	1216	l ɛ f t	554 1121 452 120
647	French	left	93	gauche	goʃ	g o ʃ	-1215	ɡ o ʃ	831 887 683
648	German	left	93	link	liŋk	l i ŋ k	1214	l i ŋ k	554 1076 801 838
649	Hawaiian	left	93	hema	hema	h e m a	1221	h e m a	405 1089 241 997
650	Navajo	left	93	nishtƚ'a	niʃtˡˀa	n i ʃ tˡˀ a	1219	n i ʃ tɬʼ a	107 1076 683 508 997
651	Turkish	left	93	sol	sol	s o l	1217	s o l	89 887 554
652	Albanian	lie	94	(rri) shtrirë	ʃtrir	ʃ t r i r	978	ʃ t r i r	683 120 153 1076 153
653	English	lie	94	lies	lai	l ai	975	l ai	554 1037
654	French	lie	94	(est) allongé	alɔ̃ʒe	a l ɔ̃ ʒ e	976	a l ɔ̃ ʒ e	997 554 915 685 1089
655	German	lie	94	liegt	liːg	l iː g	975	l iː ɡ	554 1068 831
656	Hawaiian	lie	94	moe	moe	m o e	981	m o e	241 887 1089
657	Navajo	lie	94	sitį́	sitĩ́	s i t ĩ́	979	s i t ĩ	89 1076 120 1078
658	Turkish	lie	94	yatıyor	jat	j a t	977	j a t	570 997 120
659	Albanian	liver	95	mëlçi	məlʧi	m ə l ʧ i	796	m ə l tʃ i	241 1022 554 651 1076
660	English	liver	95	liver	lɪvər	l ɪ v ə r	793	l ɪ v ə r	554 1110 451 1022 153
661	French	liver	95	foie	fwa	f w a	-794	f w a	452 462 997
662	German	liver	95	Leber	leːbər	l eː b ə r	793	l eː b ə r	554 1091 257 1022 153
663	Hawaiian	liver	95	ake	ake	a k e	799	a k e	997 838 1089
664	Navajo	liver	95	'azid	zid	z i d	797	z i d	80 1076 145
665	Turkish	liver	95	ciğer	ʤiɣer	ʤ i ɣ e r	-795	dʒ i ɣ e r	655 1076 780 1089 153
666	Albanian	long	96	gjatë	ɟat	ɟ a t	728	ɟ a t	609 997 120
667	English	long	96	long	lɔŋ	l ɔ ŋ	728	l ɔ ŋ	554 916 801
668	French	long	96	long	lɔ̃g	l ɔ̃ g	728	l ɔ̃ ɡ	554 915 831
669	German	long	96	lang	laŋ	l a ŋ	728	l a ŋ	554 997 801
670	Hawaiian	long	96	loa	loa	l o a	731	l o a	554 887 997
671	Navajo	long	96	nineez	nineːz	n i n eː z	730	n i n eː z	107 1076 107 1091 80
672	Turkish	long	96	uzun	uzun	u z u n	729	u z u n	868 80 868 107
673	Albanian	louse	97	morr	morː	m o rː	601	m o rː	241 887 162
674	English	louse	97	louse	laus	l au s	598	l au s	554 1033 89
675	French	louse	97	pou	pu	p u	599	p u	291 868
676	German	louse	97	Laus	lauz	l au z	598	l au z	554 1033 80
677	Hawaiian	louse	97	`uku	ʔuku	ʔ u k u	603	ʔ u k u	409 868 838 868
678	Navajo	louse	97	yaa'	jaːʔ	j aː ʔ	602	j aː ʔ	570 1004 409
679	Turkish	louse	97	bit	bit	b i t	600	b i t	257 1076 120
680	Albanian	man	98	burrë	burː	b u rː	1146	b u rː	257 868 162
681	English	man	98	man	man	m a n	1143	m a n	241 997 107
682	French	man	98	homme	ɔm	ɔ m	1144	ɔ m	916 241
683	German	man	98	Mann	man	m a n	1143	m a n	241 997 107
684	Hawaiian	man	98	kāne	kaːne	k aː n e	1149	k aː n e	838 1004 107 1089
685	Navajo	man	98	hastiin	hastiːn	h a s t iː n	1147	h a s t iː n	405 997 89 120 1068 107
686	Turkish	man	98	erkek	erkek	e r k e k	1145	e r k e k	1089 153 838 1089 838
687	Albanian	many	99	shumë	ʃum	ʃ u m	-594	ʃ u m	683 868 241
688	English	many	99	many	mɛni	m ɛ n i	592	m ɛ n i	241 1121 107 1076
689	French	many	99	beaucoup de	boku	b o k u	591	b o k u	257 887 838 868
690	German	many	99	viele	fiːl	f iː l	590	f iː l	452 1068 554
691	Hawaiian	many	99	nui	nui	n u i	597	n u i	107 868 1076
692	Navajo	many	99	lą'í	lãʔi	l ã ʔ i	595	l ã ʔ i	554 1014 409 1076
693	Turkish	many	99	çok	ʧok	ʧ o k	-593	tʃ o k	651 887 838
694	Albanian	meat	100	mish	miʃ	m i ʃ	252	m i ʃ	241 1076 683
695	English	meat	100	meat	mit	m i t	250	m i t	241 1076 120
696	French	meat	100	viande	vjɑ̃d	v j ɑ̃ d	249	v j ɑ̃ d	451 570 951 145
697	German	meat	100	Fleisch	flaiʃ	f l ai ʃ	248	f l ai ʃ	452 554 1037 683
698	Hawaiian	meat	100	`i`o	ʔiʔo	ʔ i ʔ o	255	ʔ i ʔ o	409 1076 409 887
699	Navajo	meat	100	'atsį'	ʦĩʔ	ʦ ĩ ʔ	253	ts ĩ ʔ	15 1078 409
700	Turkish	meat	100	et	et	e t	251	e t	1089 120
701	Albanian	moon	101	hënë	hən	h ə n	457	h ə n	405 1022 107
702	English	moon	101	moon	mun	m u n	454	m u n	241 868 107
703	French	moon	101	lune	lyn	l y n	455	l y n	554 1047 107
704	German	moon	101	Mond	moːnd	m oː n d	454	m oː n d	241 880 107 145
705	Hawaiian	moon	101	mahina	mahina	m a h i n a	459	m a h i n a	241 997 405 1076 107 997
706	Navajo	moon	101	'ooljéé'	ʔoːlʤeːʔ	ʔ oː l ʤ eː ʔ	458	ʔ oː l dʒ eː ʔ	409 880 554 655 1091 409
707	Turkish	moon	101	ay	aj	a j	456	a j	997 570
708	Albanian	mother	102	nënë	nən	n ə n	1199	n ə n	107 1022 107
709	English	mother	102	mother	məðər	m ə ð ə r	1197	m ə ð ə r	241 1022 419 1022 153
710	French	mother	102	mère	mɛr	m ɛ r	1197	m ɛ r	241 1121 153
711	German	mother	102	Mutter	mutər	m u t ə r	1197	m u t ə r	241 868 120 1022 153
712	Hawaiian	mother	102	makuahine	makuahine	m a k u a h i n e	1201	m a k u a h i n e	241 997 838 868 997 405 1076 107 1089
713	Navajo	mother	102	'amá	may	m ay	1200	m ?	241 ?
714	Turkish	mother	102	anne	anne	a n n e	1198	a n n e	997 107 107 1089
715	Albanian	mountain	103	mal	mal	m a l	1063	m a l	241 997 554
716	English	mountain	103	mountain	mauntən	m au n t ə n	-1061	m au n t ə n	241 1033 107 120 1022 107
717	French	mountain	103	montagne	mɔ̃taɲ	m ɔ̃ t a ɲ	1061	m ɔ̃ t a ɲ	241 915 120 997 595
718	German	mountain	103	Berg	berg	b e r g	1060	b e r ɡ	257 1089 153 831
719	Hawaiian	mountain	103	mauna	mauna	m a u n a	1065	m a u n a	241 997 868 107 997
720	Navajo	mountain	103	dziƚ	ʣiɬ	ʣ i ɬ	1064	dz i ɬ	20 1076 540
721	Turkish	mountain	103	dağ	daɣ	d a ɣ	1062	d a ɣ	145 997 780
722	Albanian	mouth	104	gojë	goj	g o j	-1108	ɡ o j	831 887 570
723	English	mouth	104	mouth	mauθ	m au θ	1105	m au θ	241 1033 417
724	French	mouth	104	bouche	buʃ	b u ʃ	1106	b u ʃ	257 868 683
725	German	mouth	104	Mund	mund	m u n d	1105	m u n d	241 868 107 145
726	Hawaiian	mouth	104	waha	waha	w a h a	1111	w a h a	462 997 405 997
727	Navajo	mouth	104	'azéé'	zeːʔ	z eː ʔ	1109	z eː ʔ	80 1091 409
728	Turkish	mouth	104	ağız	aɣz	a ɣ z	1107	a ɣ z	997 780 80
729	Albanian	name	105	emër	emər	e m ə r	244	e m ə r	1089 241 1022 153
730	English	name	105	name	nem	n e m	244	n e m	107 1089 241
731	French	name	105	nom	nɔ̃	n ɔ̃	244	n ɔ̃	107 915
732	German	name	105	Name	naːmən	n aː m ə n	244	n aː m ə n	107 1004 241 1022 107
733	Hawaiian	name	105	inoa	inoa	i n o a	247	i n o a	1076 107 887 997
734	Navajo	name	105	'ázhi'	ʒiʔ	ʒ i ʔ	246	ʒ i ʔ	685 1076 409
735	Turkish	name	105	ad	ad	a d	245	a d	997 145
736	Albanian	narrow	106	ngushtë	nguʃt	n g u ʃ t	-630	n ɡ u ʃ t	107 831 868 683 120
737	English	narrow	106	narrow	naro	n a r o	632	n a r o	107 997 153 887
738	French	narrow	106	étroit	etrwat	e t r w a t	631	e t r w a t	1089 120 153 462 997 120
739	German	narrow	106	eng	eŋ	e ŋ	630	e ŋ	1089 801
740	Hawaiian	narrow	106	lā`iki	laːʔiki	l aː ʔ i k i	635	l aː ʔ i k i	554 1004 409 1076 838 1076
741	Navajo	narrow	106	'áƚts'óózí	ʔayɬʦˀoːzi	ʔ ay ɬ ʦˀ oː z i	634	ʔ ? ɬ tsʼ oː z i	409 ? 540 16 880 80 1076
742	Turkish	narrow	106	dar	dar	d a r	633	d a r	145 997 153
743	Albanian	near	107	afër	afər	a f ə r	892	a f ə r	997 452 1022 153
744	English	near	107	near	nɪr	n ɪ r	889	n ɪ r	107 1110 153
745	French	near	107	près de	prɛ	p r ɛ	890	p r ɛ	291 153 1121
746	German	near	107	nah	naː	n aː	889	n aː	107 1004
747	Hawaiian	near	107	kokoke	kokoke	k o k o k e	895	k o k o k e	838 887 838 887 838 1089
748	Navajo	near	107	'áhání	ʔayhayni	ʔ ay h ay n i	893	ʔ ? h ? n i	409 ? 405 ? 107 1076
749	Turkish	near	107	yakın	jakɯn	j a k ɯ n	891	j a k ɯ n	570 997 838 944 107
750	Albanian	neck	108	qafë	caf	c a f	-1158	c a f	606 997 452
751	English	neck	108	neck	nɛk	n ɛ k	1156	n ɛ k	107 1121 838
752	French	neck	108	cou	ku	k u	1155	k u	838 868
753	German	neck	108	Hals	halz	h a l z	1155	h a l z	405 997 554 80
754	Hawaiian	neck	108	`ā`ī	ʔaːʔiː	ʔ aː ʔ iː	1160	ʔ aː ʔ iː	409 1004 409 1068
755	Navajo	neck	108	'ak'os	kˀos	kˀ o s	1159	kʼ o s	776 887 89
756	Turkish	neck	108	boyun	bojn	b o j n	1157	b o j n	257 887 570 107
757	Albanian	new	109	ri	ri	r i	475	r i	153 1076
758	English	new	109	new	nu	n u	473	n u	107 868
759	French	new	109	nouveau	nuvɛl	n u v ɛ l	473	n u v ɛ l	107 868 451 1121 554
760	German	new	109	neu	noi	n oi	473	n oi	107 935
761	Hawaiian	new	109	hou	hou	h o u	477	h o u	405 887 868
762	Navajo	new	109	'ániid	niːd	n iː d	476	n iː d	107 1068 145
763	Turkish	new	109	yeni	jeni	j e n i	474	j e n i	570 1089 107 1076
764	Albanian	night	110	natë	nat	n a t	289	n a t	107 997 120
765	English	night	110	night	nait	n ai t	289	n ai t	107 1037 120
766	French	night	110	nuit	nɥi	n ɥ i	289	n ɥ i	107 458 1076
767	German	night	110	Nacht	naxt	n a x t	289	n a x t	107 997 778 120
768	Hawaiian	night	110	pō	poː	p oː	292	p oː	291 880
769	Navajo	night	110	tl'éé'	tˡˀeːʔ	tˡˀ eː ʔ	291	tɬʼ eː ʔ	508 1091 409
770	Turkish	night	110	gece	geʤe	g e ʤ e	290	ɡ e dʒ e	831 1089 655 1089
771	Albanian	nose	111	hundë	hund	h u n d	286	h u n d	405 868 107 145
772	English	nose	111	nose	noz	n o z	284	n o z	107 887 80
773	French	nose	111	nez	ne	n e	284	n e	107 1089
774	German	nose	111	Nase	naːzə	n aː z ə	284	n aː z ə	107 1004 80 1022
775	Hawaiian	nose	111	ihu	ihu	i h u	288	i h u	1076 405 868
776	Navajo	nose	111	'áchį́į́h	ʧĩ́ːh	ʧ ĩ́ː h	287	tʃ ĩː h	651 1066 405
777	Turkish	nose	111	burun	burn	b u r n	285	b u r n	257 868 153 107
778	Albanian	not	112	nuk	nuk	n u k	27	n u k	107 868 838
779	English	not	112	not	nɑt	n ɑ t	24	n ɑ t	107 952 120
780	French	not	112	ne...pas	pa	p a	25	p a	291 997
781	German	not	112	nicht	nixt	n i x t	24	n i x t	107 1076 778 120
782	Hawaiian	not	112	`a`ole	ʔaʔole	ʔ a ʔ o l e	29	ʔ a ʔ o l e	409 997 409 887 554 1089
783	Navajo	not	112	doo...da	doː	d oː	28	d oː	145 880
784	Turkish	not	112	değil	deɣil	d e ɣ i l	26	d e ɣ i l	145 1089 780 1076 554
785	Albanian	now	113	tani	tani	t a n i	235	t a n i	120 997 107 1076
786	English	now	113	now	nau	n au	232	n au	107 1033
787	French	now	113	maintenant	mɛ̃tnɑ̃	m ɛ̃ t n ɑ̃	233	m ɛ̃ t n ɑ̃	241 1123 120 107 951
788	German	now	113	nun	nuːn	n uː n	232	n uː n	107 860 107
789	Hawaiian	now	113	`ānō	ʔaːnoː	ʔ aː n oː	237	ʔ aː n oː	409 1004 107 880
790	Navajo	now	113	k'ad	kˀad	kˀ a d	236	kʼ a d	776 997 145
791	Turkish	now	113	şimdi	ʃimdi	ʃ i m d i	234	ʃ i m d i	683 1076 241 145 1076
792	Albanian	old	114	vjetër	vjetər	v j e t ə r	-343	v j e t ə r	451 570 1089 120 1022 153
793	English	old	114	old	old	o l d	342	o l d	887 554 145
794	French	old	114	vieil	vjɛj	v j ɛ j	343	v j ɛ j	451 570 1121 570
795	German	old	114	alt	alt	a l t	342	a l t	997 554 120
796	Hawaiian	old	114	o`o	oʔo	o ʔ o	346	o ʔ o	887 409 887
797	Navajo	old	114	sání	sayni	s ay n i	345	s ? n i	89 ? 107 1076
798	Turkish	old	114	ihtiyar	ihtijar	i h t i j a r	-344	i h t i j a r	1076 405 120 1076 570 997 153
799	Albanian	one	115	një	ɲə	ɲ ə	663	ɲ ə	595 1022
800	English	one	115	one	wən	w ə n	661	w ə n	462 1022 107
801	French	one	115	un	œ̃	œ̃	661	œ̃	1056
802	German	one	115	eins	ain	ai n	661	ai n	1037 107
803	Hawaiian	one	115	`ekahi	ʔekahi	ʔ e k a h i	665	ʔ e k a h i	409 1089 838 997 405 1076
804	Navajo	one	115	ƚáa'ii	ɬayʔiː	ɬ ay ʔ iː	664	ɬ ? ʔ iː	540 ? 409 1068
805	Turkish	one	115	bir	bir	b i r	662	b i r	257 1076 153
806	Albanian	other	116	tjetër	tjetər	t j e t ə r	1005	t j e t ə r	120 570 1089 120 1022 153
807	English	other	116	other	əðər	ə ð ə r	1002	ə ð ə r	1022 419 1022 153
808	French	other	116	autre	otr	o t r	1003	o t r	887 120 153
809	German	other	116	anderer	andər	a n d ə r	1002	a n d ə r	997 107 145 1022 153
810	Hawaiian	other	116	`ē a`e	ʔeː	ʔ eː	1007	ʔ eː	409 1091
811	Navajo	other	116	ƚah	ɬah	ɬ a h	1006	ɬ a h	540 997 405
812	Turkish	other	116	başka	baʃka	b a ʃ k a	1004	b a ʃ k a	257 997 683 838 997
813	Albanian	path	117	shteg	ʃteg	ʃ t e g	557	ʃ t e ɡ	683 120 1089 831
814	English	path	117	path	paθ	p a θ	554	p a θ	291 997 417
815	French	path	117	sentier	sɑ̃tje	s ɑ̃ t j e	555	s ɑ̃ t j e	89 951 120 570 1089
816	German	path	117	Pfad	p͡faːd	p͡f aː d	554	pf aː d	424 1004 145
817	Hawaiian	path	117	ala	ala	a l a	559	a l a	997 554 997
818	Navajo	path	117	'atiin	tiːn	t iː n	558	t iː n	120 1068 107
819	Turkish	path	117	yol	jol	j o l	556	j o l	570 887 554
820	Albanian	play	118	luan	lua	l u a	1051	l u a	554 868 997
821	English	play	118	plays	ple	p l e	1049	p l e	291 554 1089
822	French	play	118	joue	ʒue	ʒ u e	1048	ʒ u e	685 868 1089
823	German	play	118	spielt	ʃpiːl	ʃ p iː l	1047	ʃ p iː l	683 291 1068 554
824	Hawaiian	play	118	pā`ani	paːʔani	p aː ʔ a n i	1054	p aː ʔ a n i	291 1004 409 997 107 1076
825	Navajo	play	118	naashné	naːne	n aː n e	1052	n aː n e	107 1004 107 1089
826	Turkish	play	118	oynayor	ojna	o j n a	1050	o j n a	887 570 107 997
827	Albanian	pull	119	tërheq	tərhec	t ə r h e c	851	t ə r h e c	120 1022 153 405 1089 606
828	English	pull	119	pulls	pʊl	p ʊ l	849	p ʊ l	291 904 554
829	French	pull	119	tire	tire	t i r e	848	t i r e	120 1076 153 1089
830	German	pull	119	zieht	ʦiː	ʦ iː	847	ts iː	15 1068
831	Hawaiian	pull	119	huki	huki	h u k i	854	h u k i	405 868 838 1076
832	Navajo	pull	119	yisdzį́į́s	jiʣĩ́ːs	j i ʣ ĩ́ː s	852	j i dz ĩː s	570 1076 20 1066 89
833	Turkish	pull	119	çekiyor	ʧek	ʧ e k	850	tʃ e k	651 1089 838
834	Albanian	push	120	shtyn	ʃty	ʃ t y	1202	ʃ t y	683 120 1047
835	English	push	120	pushes	pʊʃ	p ʊ ʃ	-1203	p ʊ ʃ	291 904 683
836	French	push	120	pousse	puse	p u s e	1203	p u s e	291 868 89 1089
837	German	push	120	stößt	ʃtoːs	ʃ t oː s	1202	ʃ t oː s	683 120 880 89
838	Hawaiian	push	120	pahu	pahu	p a h u	1207	p a h u	291 997 405 868
839	Navajo	push	120	béshhííƚ	beɣiːɬ	b e ɣ iː ɬ	1205	b e ɣ iː ɬ	257 1089 780 1068 540
840	Turkish	push	120	itiyor	it	i t	1204	i t	1076 120
841	Albanian	rain	121	shi	ʃi	ʃ i	1091	ʃ i	683 1076
842	English	rain	121	rain	ren	r e n	1088	r e n	153 1089 107
843	French	rain	121	pluie	plɥi	p l ɥ i	1089	p l ɥ i	291 554 458 1076
844	German	rain	121	Regen	reːgən	r eː g ə n	1088	r eː ɡ ə n	153 1091 831 1022 107
845	Hawaiian	rain	121	ua	ua	u a	1093	u a	868 997
846	Navajo	rain	121	níƚtsą́	niɬʦã́	n i ɬ ʦ ã́	1092	n i ɬ ts ã	107 1076 540 15 1014
847	Turkish	rain	121	yağmur	jaɣmur	j a ɣ m u r	1090	j a ɣ m u r	570 997 780 241 868 153
848	Albanian	red	122	kuq	kuc	k u c	-703	k u c	838 868 606
849	English	red	122	red	rɛd	r ɛ d	701	r ɛ d	153 1121 145
850	French	red	122	rouge	ruʒ	r u ʒ	701	r u ʒ	153 868 685
851	German	red	122	rot	roːt	r oː t	701	r oː t	153 880 120
852	Hawaiian	red	122	`ula	ʔula	ʔ u l a	705	ʔ u l a	409 868 554 997
853	Navajo	red	122	ƚichííh	ɬiʧiːh	ɬ i ʧ iː h	704	ɬ i tʃ iː h	540 1076 651 1068 405
854	Turkish	red	122	kızıl	kɯzɯl	k ɯ z ɯ l	702	k ɯ z ɯ l	838 944 80 944 554
855	Albanian	right	123	djathtë	djaθt	d j a θ t	673	d j a θ t	145 570 997 417 120
856	English	right	123	right	rait	r ai t	671	r ai t	153 1037 120
857	French	right	123	droit	drwat	d r w a t	671	d r w a t	145 153 462 997 120
858	German	right	123	recht	rext	r e x t	671	r e x t	153 1089 778 120
859	Hawaiian	right	123	`ākau	ʔaːkau	ʔ aː k a u	675	ʔ aː k a u	409 1004 838 997 868
860	Navajo	right	123	nish'ná	niʃnay	n i ʃ n ay	674	n i ʃ n ?	107 1076 683 107 ?
861	Turkish	right	123	sağ	saɣ	s a ɣ	672	s a ɣ	89 997 780
862	Albanian	river	124	lumë	lum	l u m	312	l u m	554 868 241
863	English	river	124	river	rɪvər	r ɪ v ə r	-310	r ɪ v ə r	153 1110 451 1022 153
864	French	river	124	fleuve	fløv	f l ø v	-309	f l ø v	452 554 1052 451
865	German	river	124	Fluss	flus	f l u s	308	f l u s	452 554 868 89
866	Hawaiian	river	124	kahawai	kahawai	k a h a w a i	314	k a h a w a i	838 997 405 997 462 997 1076
867	Navajo	river	124	tooh	toːh	t oː h	313	t oː h	120 880 405
868	Turkish	river	124	nehir	nehir	n e h i r	-311	n e h i r	107 1089 405 1076 153
869	Albanian	root	125	rrënjë	rːəɲ	rː ə ɲ	911	rː ə ɲ	162 1022 595
870	English	root	125	root	rut	r u t	-911	r u t	153 868 120
871	French	root	125	racine	rasin	r a s i n	911	r a s i n	153 997 89 1076 107
872	German	root	125	Wurzel	vurʦəl	v u r ʦ ə l	911	v u r ts ə l	451 868 153 15 1022 554
873	Hawaiian	root	125	a`a	aʔa	a ʔ a	914	a ʔ a	997 409 997
874	Navajo	root	125	'akétl'óól	ketˡˀoːl	k e tˡˀ oː l	913	k e tɬʼ oː l	838 1089 508 880 554
875	Turkish	root	125	kök	køk	k ø k	912	k ø k	838 1052 838
876	Albanian	rotten	126	kalbur	kalbur	k a l b u r	463	k a l b u r	838 997 554 257 868 153
877	English	rotten	126	rotten	rɑtən	r ɑ t ə n	-461	r ɑ t ə n	153 952 120 1022 107
878	French	rotten	126	pourri	puri	p u r i	460	p u r i	291 868 153 1076
879	German	rotten	126	faul	faul	f au l	460	f au l	452 1033 554
880	Hawaiian	rotten	126	pilau	pilau	p i l a u	465	p i l a u	291 1076 554 997 868
881	Navajo	rotten	126	diƚdzííd	diɬʣiːd	d i ɬ ʣ iː d	464	d i ɬ dz iː d	145 1076 540 20 1068 145
882	Turkish	rotten	126	çürük	ʧyryk	ʧ y r y k	462	tʃ y r y k	651 1047 153 1047 838
883	Albanian	round	127	rrumbullák	rːumbułak	rː u m b u ł a k	317	rː u m b u lˠ a k	162 868 241 257 868 549 997 838
884	English	round	127	round	raund	r au n d	-315	r au n d	153 1033 107 145
885	French	round	127	rond	rɔ̃d	r ɔ̃ d	315	r ɔ̃ d	153 915 145
886	German	round	127	rund	rund	r u n d	-315	r u n d	153 868 107 145
887	Hawaiian	round	127	poepoe	poepoe	p o e p o e	319	p o e p o e	291 887 1089 291 887 1089
888	Navajo	round	127	nímaz	nimaz	n i m a z	318	n i m a z	107 1076 241 997 80
889	Turkish	round	127	yuvarlak	juvarlak	j u v a r l a k	316	j u v a r l a k	570 868 451 997 153 554 997 838
890	Albanian	rub	128	fërkon	fərko	f ə r k o	-511	f ə r k o	452 1022 153 838 887
891	English	rub	128	rubs	rəb	r ə b	509	r ə b	153 1022 257
892	French	rub	128	frotte	frɔte	f r ɔ t e	508	f r ɔ t e	452 153 916 120 1089
893	German	rub	128	reibt	raib	r ai b	507	r ai b	153 1037 257
894	Hawaiian	rub	128	`ānai	ʔaːnai	ʔ aː n a i	513	ʔ aː n a i	409 1004 107 997 1076
895	Navajo	rub	128	bídinishhish	bidiniɣiʃ	b i d i n i ɣ i ʃ	512	b i d i n i ɣ i ʃ	257 1076 145 1076 107 1076 780 1076 683
896	Turkish	rub	128	sürtüyor	syrt	s y r t	510	s y r t	89 1047 153 120
897	Albanian	salt	129	kripë	krip	k r i p	1171	k r i p	838 153 1076 291
898	English	salt	129	salt	sɔlt	s ɔ l t	1169	s ɔ l t	89 916 554 120
899	French	salt	129	sel	sɛl	s ɛ l	1169	s ɛ l	89 1121 554
900	German	salt	129	Salz	zalʦ	z a l ʦ	1169	z a l ts	80 997 554 15
901	Hawaiian	salt	129	pa`akai	paʔakai	p a ʔ a k a i	1173	p a ʔ a k a i	291 997 409 997 838 997 1076
902	Navajo	salt	129	'áshįįh	ʔayʃĩːh	ʔ ay ʃ ĩː h	1172	ʔ ? ʃ ĩː h	409 ? 683 1066 405
903	Turkish	salt	129	tuz	tuz	t u z	1170	t u z	120 868 80
904	Albanian	sand	130	rërë	rər	r ə r	-445	r ə r	153 1022 153
905	English	sand	130	sand	sand	s a n d	442	s a n d	89 997 107 145
906	French	sand	130	sable	sabl	s a b l	443	s a b l	89 997 257 554
907	German	sand	130	Sand	zand	z a n d	442	z a n d	80 997 107 145
908	Hawaiian	sand	130	one	one	o n e	447	o n e	887 107 1089
909	Navajo	sand	130	séí	sei	s e i	446	s e i	89 1089 1076
910	Turkish	sand	130	kum	kum	k u m	444	k u m	838 868 241
911	Albanian	say	131	thotë	θ	θ	942	θ	417
912	English	say	131	says	se	s e	939	s e	89 1089
913	French	say	131	dit	di	d i	940	d i	145 1076
914	German	say	131	sagt	zaːg	z aː g	939	z aː ɡ	80 1004 831
915	Hawaiian	say	131	`ōlelo	ʔoːlelo	ʔ oː l e l o	944	ʔ oː l e l o	409 880 554 1089 554 887
916	Navajo	say	131	ní	ni	n i	943	n i	107 1076
917	Turkish	say	131	diyor	de	d e	941	d e	145 1089
918	Albanian	scratch	132	gërvish	gərviʃ	g ə r v i ʃ	8	ɡ ə r v i ʃ	831 1022 153 451 1076 683
919	English	scratch	132	scratches	skraʧ	s k r a ʧ	9	s k r a tʃ	89 838 153 997 651
920	French	scratch	132	gratte	grat	g r a t	-8	ɡ r a t	831 153 997 120
921	German	scratch	132	kratzt	kraʦ	k r a ʦ	8	k r a ts	838 153 997 15
922	Hawaiian	scratch	132	walu	walu	w a l u	13	w a l u	462 997 554 868
923	Navajo	scratch	132	'ashch'id	ʔaʧˀid	ʔ a ʧˀ i d	11	ʔ a tʃʼ i d	409 997 652 1076 145
924	Turkish	scratch	132	tırmalıyor	tɯrmala	t ɯ r m a l a	10	t ɯ r m a l a	120 944 153 241 997 554 997
925	Albanian	sea	133	det	det	d e t	400	d e t	145 1089 120
926	English	sea	133	sea	si	s i	397	s i	89 1076
927	French	sea	133	mer	mɛr	m ɛ r	398	m ɛ r	241 1121 153
928	German	sea	133	See	zeː	z eː	397	z eː	80 1091
929	Hawaiian	sea	133	kai	kai	k a i	402	k a i	838 997 1076
930	Navajo	sea	133	tónteel	tonteːl	t o n t eː l	401	t o n t eː l	120 887 107 120 1091 554
931	Turkish	sea	133	deniz	deniz	d e n i z	399	d e n i z	145 1089 107 1076 80
932	Albanian	see	134	sheh	ʃ	ʃ	385	ʃ	683
933	English	see	134	sees	si	s i	385	s i	89 1076
934	French	see	134	voit	vwa	v w a	386	v w a	451 462 997
935	German	see	134	sieht	zeː	z eː	385	z eː	80 1091
936	Hawaiian	see	134	`ike	ʔike	ʔ i k e	389	ʔ i k e	409 1076 838 1089
937	Navajo	see	134	yish'į́	jiʔĩ́	j i ʔ ĩ́	388	j i ʔ ĩ	570 1076 409 1078
938	Turkish	see	134	görüyor	gør	g ø r	387	ɡ ø r	831 1052 153
